Type,Severity,Title,Description,Recommendation,Data Sources,Estimated Impact,Affected Pages Count,Affected Pages
slow_response,warning,12 pages with slow server response,12 pages have TTFB > 500ms (avg: 524ms). Slow server response hurts Core Web Vitals.,"Check server performance, caching, and CDN configuration. Consider edge caching for static pages.",crawl,high,12,https://concerts.morperhaus.org/; https://concerts.morperhaus.org/?scene=timeline; https://concerts.morperhaus.org/?scene=venues; https://concerts.morperhaus.org/?scene=geography; https://concerts.morperhaus.org/?scene=genres; https://concerts.morperhaus.org/?scene=artists; https://concerts.morperhaus.org/?scene=artists&artist=depeche-mode; https://concerts.morperhaus.org/?scene=artists&artist=nine-inch-nails; https://concerts.morperhaus.org/?scene=venues&venue=hollywood-bowl; https://concerts.morperhaus.org/?scene=venues&venue=forum; https://concerts.morperhaus.org/?scene=genres&genre=industrial; https://concerts.morperhaus.org/?scene=geography&region=losangeles
duplicate_content,warning,10 pages share identical title,"Title ""Morperhaus Concert Archives"" is used on 10 pages. This can cause keyword cannibalization.","Give each page a unique, descriptive title. Consider if these pages should be consolidated.",crawl,medium,10,https://concerts.morperhaus.org/; https://concerts.morperhaus.org/?scene=timeline; https://concerts.morperhaus.org/?scene=venues; https://concerts.morperhaus.org/?scene=geography; https://concerts.morperhaus.org/?scene=genres; https://concerts.morperhaus.org/?scene=artists; https://concerts.morperhaus.org/?scene=artists&artist=nine-inch-nails; https://concerts.morperhaus.org/?scene=venues&venue=forum; https://concerts.morperhaus.org/?scene=genres&genre=industrial; https://concerts.morperhaus.org/?scene=geography&region=losangeles
content_gap,warning,Well-structured page has no search visibility,https://concerts.morperhaus.org/ has proper meta tags and schema but received only 0 impressions in the last 28 days.,"Check if page is indexed. If indexed, content may not match search intent or faces strong competition.",crawl; gsc,medium,1,https://concerts.morperhaus.org/
content_gap,warning,Well-structured page has no search visibility,https://concerts.morperhaus.org/?scene=timeline has proper meta tags and schema but received only 0 impressions in the last 28 days.,"Check if page is indexed. If indexed, content may not match search intent or faces strong competition.",crawl; gsc,medium,1,https://concerts.morperhaus.org/?scene=timeline
content_gap,warning,Well-structured page has no search visibility,https://concerts.morperhaus.org/?scene=venues has proper meta tags and schema but received only 0 impressions in the last 28 days.,"Check if page is indexed. If indexed, content may not match search intent or faces strong competition.",crawl; gsc,medium,1,https://concerts.morperhaus.org/?scene=venues
content_gap,warning,Well-structured page has no search visibility,https://concerts.morperhaus.org/?scene=geography has proper meta tags and schema but received only 0 impressions in the last 28 days.,"Check if page is indexed. If indexed, content may not match search intent or faces strong competition.",crawl; gsc,medium,1,https://concerts.morperhaus.org/?scene=geography
content_gap,warning,Well-structured page has no search visibility,https://concerts.morperhaus.org/?scene=genres has proper meta tags and schema but received only 0 impressions in the last 28 days.,"Check if page is indexed. If indexed, content may not match search intent or faces strong competition.",crawl; gsc,medium,1,https://concerts.morperhaus.org/?scene=genres
content_gap,warning,Well-structured page has no search visibility,https://concerts.morperhaus.org/?scene=artists has proper meta tags and schema but received only 0 impressions in the last 28 days.,"Check if page is indexed. If indexed, content may not match search intent or faces strong competition.",crawl; gsc,medium,1,https://concerts.morperhaus.org/?scene=artists
content_gap,warning,Well-structured page has no search visibility,https://concerts.morperhaus.org/?scene=artists&artist=depeche-mode has proper meta tags and schema but received only 0 impressions in the last 28 days.,"Check if page is indexed. If indexed, content may not match search intent or faces strong competition.",crawl; gsc,medium,1,https://concerts.morperhaus.org/?scene=artists&artist=depeche-mode
content_gap,warning,Well-structured page has no search visibility,https://concerts.morperhaus.org/?scene=artists&artist=nine-inch-nails has proper meta tags and schema but received only 0 impressions in the last 28 days.,"Check if page is indexed. If indexed, content may not match search intent or faces strong competition.",crawl; gsc,medium,1,https://concerts.morperhaus.org/?scene=artists&artist=nine-inch-nails
content_gap,warning,Well-structured page has no search visibility,https://concerts.morperhaus.org/?scene=venues&venue=hollywood-bowl has proper meta tags and schema but received only 0 impressions in the last 28 days.,"Check if page is indexed. If indexed, content may not match search intent or faces strong competition.",crawl; gsc,medium,1,https://concerts.morperhaus.org/?scene=venues&venue=hollywood-bowl
content_gap,warning,Well-structured page has no search visibility,https://concerts.morperhaus.org/?scene=venues&venue=forum has proper meta tags and schema but received only 0 impressions in the last 28 days.,"Check if page is indexed. If indexed, content may not match search intent or faces strong competition.",crawl; gsc,medium,1,https://concerts.morperhaus.org/?scene=venues&venue=forum
content_gap,warning,Well-structured page has no search visibility,https://concerts.morperhaus.org/?scene=genres&genre=industrial has proper meta tags and schema but received only 0 impressions in the last 28 days.,"Check if page is indexed. If indexed, content may not match search intent or faces strong competition.",crawl; gsc,medium,1,https://concerts.morperhaus.org/?scene=genres&genre=industrial
content_gap,warning,Well-structured page has no search visibility,https://concerts.morperhaus.org/?scene=geography&region=losangeles has proper meta tags and schema but received only 0 impressions in the last 28 days.,"Check if page is indexed. If indexed, content may not match search intent or faces strong competition.",crawl; gsc,medium,1,https://concerts.morperhaus.org/?scene=geography&region=losangeles
